Store name,Street address,City,State,Zip code,Full address,lat,lon
Astoria Co+op,2350 Marine Drive,Astoria,OR,97103,"2350 Marine Drive,Astoria,OR,97103",46.1891224,-123.81536894999999
Chester's Market,631 West Main,John Day,OR,97845,"631 West Main,John Day,OR,97845",44.41973773516828,-118.96103095257727
Chester's Market,34585 Brooten Road,Cloverdale,OR,97112,"34585 Brooten Road,Cloverdale,OR,97112",45.20671871375452,-123.95964866004289
Chester's Market,3950 US-101,Depoe Bay,OR,97341,"3950 US-101,Depoe Bay,OR,97341",44.8094225,-124.0617931
Central Oregon Locavore,1841 NE 3rd Street,Bend,OR,97701,"1841 NE 3rd Street,Bend,OR,97701",44.06829885,-121.3028259113635
First Alternative Cooperative,1007 SE Third Street,Corvallis,OR,97333,"1007 SE Third Street,Corvallis,OR,97333",44.55393395819116,-123.26453513123064
First Alternative Cooperative,2855 NW Grant Avenue,Corvallis,OR,97330,"2855 NW Grant Avenue,Corvallis,OR,97330",44.5789584,-123.28242969916579
Food Roots FarmTable,113 Main Avenue,Tillamook,OR,97141,"113 Main Avenue,Tillamook,OR,97141",45.4526105,-123.8439481
Fossil Mercantile Company,555 Main St.,Fossil,OR,97830,"555 Main St.,Fossil,OR,97830",44.999596810703046,-120.2138160990357
Fubonn Supermarket,2850 SE 82nd Ave,Portland,OR,97266,"2850 SE 82nd Ave,Portland,OR,97266",45.501788304347826,-122.578576
Kiva Grocery,125 West 11th,Eugene,OR,97401,"125 West 11th,Eugene,OR,97401",44.04779,-123.094856
Medford Food Co-op,945 S Riverside Avenue,Medford,OR,97501,"945 S Riverside Avenue,Medford,OR,97501",42.317893600000005,-122.8632690275
North Coast Food Web,898 18th St.,Astoria,OR,97103,"898 18th St.,Astoria,OR,97103",46.1881382,-123.8228416
Red Apple Marketplace,555 SW 4th Avenue,Ontario,OR,97914,"555 SW 4th Avenue,Ontario,OR,97914",44.024318476913535,-116.97097139534513
R&S Market,735 Jefferson Avenue,Vernonia,OR,97064,"735 Jefferson Avenue,Vernonia,OR,97064",45.85816750428403,-123.1941486560805
People's Food Co-op,3029 SE 21st Avenue,Portland,OR,97202,"3029 SE 21st Avenue,Portland,OR,97202",45.50080135,-122.6448916498954
Village Market,4632 N Trenton Street,Portland,OR,97232,"4632 N Trenton Street,Portland,OR,97232",45.5884353,-122.7151465
